Head,Body,Tags,First Answer
how to work with multi-labels or two inputs and a output,"
I’m in this problem and haven’t found a sound solution to it. Been like 20 days now. I have a dataset that looks like this: 
X=image

Y1= current_zoom (0,25,50,75)

Y2= predicted_zoom (0,25,50,75)

y1 will have equal images for all classes. Also, I will know X and y1 when I test the model.
y2 will have variation with it because it has the predicted zoom level.
I tried to train on MTL model, I used two outputs from the model - y1 and y2. Now, y2 overfits (still not sure why, but my best guess is class imbalance). And y1 accuracy is around 0.99 in validation. Now the thing is when I deploy this on production, I’ll always have the current zoom (y1) with the image. So, I wanted to incorporate this to my model. First, I tried with two inputs and one output model, but loss was too much. Here, I concatenated the y1 to the output of last conv layer before it flattens and goes to dense. And second I tried was to concatenate y1 after flattening the output from last conv. Both didn’t work.
Any ideas on how can I with data like this.
Models used: resnet-18, vgg, alexnet
size of data: approx 7000 images in total.
","['deep-learning', 'convolutional-neural-networks', 'computer-vision']",
What are the technological challenges that AI faces today? [closed],"







Closed. This question needs to be more focused. It is not currently accepting answers.
                                
                            











Want to improve this question? Update the question so it focuses on one problem only by editing this post.


Closed 1 year ago.







                        Improve this question
                    



I am writing a field report on AI. I was wondering what the technological challenges are that AI is facing today. I have written the following so far.

AI needs common sense like a human common
AI needs curiosity
AI needs to understand cause and effect
AI needs to be creative

Are there any other hardware-tech-related obstacles?
",['reference-request'],
Understanding alpha-beta pruning for simplified NIM,"
This is a simple version of NIM: Two players alternately remove one, two or three coins from a stack initially containing 5 coins. The player who picks up the last coin loses.
What does alpha-beta pruning look like on the game tree for this game?
","['game-ai', 'minimax']",
Reinforcement Learning with more actions than states,"
I have read a lot about RL recently. As far as I understood, most RL applications have much more states than there are actions to choose from.
I am thinking about using RL for a problem where I have got a lot of actions to choose from, but only very few states. 
To give a handy example:
The algo should render (for whatever reason) a sentence with three words. I always want to have a sentence with three words, but I have many words to choose from. After choosing the words, I get some sort of reward.
Are RL algorithms an efficient way to solve this? 
I am thinking about using policy gradients with an ε-greedy algorithm to explore a lot of the possible actions before exploiting the knowledge gained.
","['reinforcement-learning', 'policy-gradients', 'greedy-ai']","As far as I understood, most RL applications have much more states than there are actions to choose from.Yes, this is quite common, but in no way required by the underlying theory of Markov Decision Processes (MDPs). The most extreme version of the opposite thing - with one state (or effectively no state, as state is not relevant)  - are k-armed bandit problems, where an agent tries to find a single best long-term action in general from a selection of actions. These problems typically would not use RL algorithms such as Q-learning or policy-gradients. However, that is partly because they are described with different goals in mind (e.g. minimising ""regret"" or simply gaining as much reward as possible during the learning process), and RL algorithms will work to solve them, albeit less efficiently than algorithms designed to work on bandit problems directly.I am thinking about using RL for a problem where I have got a lot of actions to choose from, but only very few states.That should work, provided your problem is still a MDP. That means for instance that the state evolves according to rules depending on which action was taken in which starting state. If the state evolution is instead arbitrary or random, then you may have a contextual bandit problem instead.There is an important difference here between:andThe former will require lots of exploration, since any specific combination of action and state could be the ideal. With the latter, you can use that fact that numerical values that are similar will often give similar results, which will make generalisation via function approximation (e.g. neural networks) work efficiently in your favour.The algo should render (for whatever reason) a sentence with three words. I always want to have a sentence with three words, but I have many words to choose from. After choosing the words, I get some sort of rewardThis seems more like the first bullet-point above, although that may depend if a natural language model could be applied for example. E.g. if ""This is good"" and ""This is great"" would produce similar rewards in a specific state, then there is maybe some benefit to generalisation, although I am not quite sure where you would fit this knowledge - possibly in a generator for a sentence vector as the ""raw"" action and then have a LSTM-based language model produce the actual action from that vector, similar to seq2seq translation models.Are RL algorithms an efficient way to solve this?Yes, but whether or not it is the most efficient will depend on other factors, such as:Whether the environment is stochastic or deterministic with regard to both reward and state progression. Whether state progression is key to obtaining the best rewards in the long term (e.g. there is some ""goal"" or ""best"" state that can only be reached by a certain route).What the actual size of the MDP is $|\mathcal{S}| \times |\mathcal{A}|$. Small MDPs can be fully enumerated, allowing you to estimate action values in a simple table. If you have 10 states and 1,000,000 discrete actions, with no real pattern of actions mapping to results, then a big 10 million entry table will actually be reasonably efficient.Competitive algorithms to RL here might be global search and optimisation ones, such as genetic algorithms. The more arbitrary and deterministic your environment is, the more likely it is that an exhaustive search will find your optimal policy faster than RL.I am thinking about using policy gradients with an ε-greedy algorithm to explore a lot of the possible actions before exploiting the knowledge gained.This should be fine. Exploration here is definitely important, but finding the sweet spot for the right amount of it will be hard, and depend on other traits of the environment. You may want to use something like upper confidence bound action selection or simply optimistic initial values, in order to ensure exploration does not miss certain actions. An epsilon greedy approach will miss a certain fraction of actions over time, and the expectation of that fraction grows smaller progressively more slowly, so it may be possible to miss an important action for a long time if you rely on being able to randomly select it.To give a handy example: The algo should render (for whatever reason) a sentence with three words. I always want to have a sentence with three words, but I have many words to choose from. After choosing the words, I get some sort of reward.I would consider modelling this as sequences of 3 actions, each of which chooses a word, with the state being a start token (whatever the state you already have) plus the sentence so far, and on every 3 words the environment is consulted to reset the state to the next start token and to gather a reward (rewards for interim steps would be zero).Doing this immediately makes the state space much larger than the action space, as your state includes history of up to two actions. If you had 10 different start states, and 100 word choices, then your state space would be 101,010 and action space 100.This will fit available designs of RL algorithms, and allow for learning some internal language modelling if it is relevant. It will reduce your need to model sentence construction outside of the agent. Most importantly, if ""good"" or ""bad"" sentences tend to start or end with certain words, and you use function approximation, then the algorithm may discover combinations more efficiently than iterating over all sentences as if they were completely independent."
Reinforcement learning for inventory management with dynamic changes to available products,"
Consider a shop owner who has to deal with having to buy for one week from a different supplier with several different brands. Another week a brand is removed or added from the market. Yet another week, the manager decides to skip three assortments of fruit soda and exchange them with a different selection of three assortments of fruit sods, and so on and so forth.
Is dealing with such issues possible with existing public implementations of reinforcement learning?
The only research that I saw dealing with dynamically changing stuff like this is the DeepMind FTW bot playing Quake capture the flag. It deals with changing layouts to the map being played, but the implementation is not public and it doesn't resemble the inventory management situation I outlined.
","['machine-learning', 'reinforcement-learning']",
Is making lot of 1 versus other model efficient?,"
I've got classification problem on image, I have 10 classes and when I fine tuned my model on it (I tried VGG, Xception, resnet etc) I have approximatly 83% validation accuracy.
I was wondering if doing lot of binary model with 1 class represented and the other as 'other' and then using them to classify my image would be good and efficient ? (I obtain more than 90% val acc for each class doing this)
Except for memory consumption and training time does this method have drawback ?
","['deep-learning', 'convolutional-neural-networks', 'classification']",
Why don't we perform classification of crowd density?,"
For the case of crowd density estimation using CNN, using datasets like shanhaiTech or UCF, why there hasn't been attempts to tackle this type of task as a classification problem? All current papers I've seen are related to regression, not classification.
For example, if I have the crowd images labeled based on their crowd density (low, moderate, high), and I'm not interested in the count, but the density class (low, moderate, high), can't I train the network to classify the data based on these classes as a classification network?
","['convolutional-neural-networks', 'classification']","For example, if I have the crowd images labeled based on their crowd density (low, moderate, high), and I'm not interested in the count, but the density class (low, moderate, high), can't I train the network to classify the data based on these classes as a classification network?Yes you can, all you need is enough correctly labelled training data.A good rule of thumb is if a human expert can assign the correct label from an image (and purely from the image, not using extra information) then it is a realistic goal to train a CNN to perform the same labelling. why there hasn't been attempts to tackle this type of task as a classification problem.Probably because there are no natural, and likely no widely accepted, classes in this case (I may be wrong, maybe some international society has defined classes you could use). If you use a regression, you can map it to a particular problem case - e.g. sending an alert to someone responsible for traffic and safety when crowd density hits some threshold - by setting numerical boundaries to your classes. Using classification and mapping back the other way is harder."
Why doesn't my image classification network get better with training?,"
I am attempting to train a network to do something I thought would be a relatively simple case to learn with: identify whether the back of a scanned vintage postcard has one of 'no postage stamp', a '1 cent stamp', or a '2 cent stamp.' The images are 250px by about 150px, RGB color, and there are about two thousand of them. Ballpark 75% of them are no-stamp, 20% 1-cent, and 10% 2-cent.
When I attempt to train the network it seems like it is starting at 70 +/- 1 % accurate and hovers in that range for 50 epochs, never improving. I'm not sure I'm reading the metrics correctly, though, as this doesn't seem quite right.
I set this up by following the tutorial on the Keras blog: https://blog.keras.io/building-powerful-image-classification-models-using-very-little-data.html 
I haven't implemented the latter part of the tutorial, where a pre-trained network is used, because I haven't found one that seems like it would be a similar problem.
My training and validation sets are here: https://drive.google.com/open?id=1-TxEKVVvP7RuFC7kFgH7Wt5A8z8QGTR3 
And my Google Colab Jupyter notebook is here: https://colab.research.google.com/drive/1UuKDF1wDwYlXszB2ahIrygRnfcs2D_sD 
","['convolutional-neural-networks', 'image-recognition', 'classification', 'keras']",
What determines the values of weights in a neural network?,"
I am trying to understand how weights are actually gotten. What is generating them in a neural network? What is the algorithm that gives them certain values?
","['neural-networks', 'machine-learning', 'neurons']","Typically, weights are randomly initialized. Then, as the model is optimized for its given task, those weights are steadily made ""better"" as determined by the network's loss function. This is also referred to as ""training"" the neural network. By far the most popular way of updating weights in a neural net is the backpropagation algorithm, most simply with stochastic gradient descent (SGD). Essentially, the algorithm determines how much each individual weight contributed to the network's loss. It then updates that weight in the direction that would reduce the loss.I recommend going through Michael Nielsen's online book to learn the basics."
Can machine learning be used to improve the average case complexity of an algorithm?,"
I am developing an algorithm that, in certain moment, must explore an exponential number of objects derived from a graph:
for o in my_graph.getDerivedObjects():
  if hasPropertyX(o):
    process(o)
    break;

If one of the derived objects has property $X$, then the algorithm process it and then stops. The theory ensures that at least one of these derived objects has property $X$. Now, I strongly suspect that there is a strong correlation between some topological aspects of the graph, and which derived objects actually have property $X$. I want to predict some of the derived objects that have property $X$ using Machine Learning. So, the idea is:

Predict a derived object $o$ that supposedly has property $X$ - or maybe predict $n$ of them for some number $n$.
If any of them is useful, I use them. If not, I run the exponential algorithm.

Of course, this isn't an optimization in the worst-case complexity of the algorithm. Also, I suppose I should also develop some statistical tests in order to show that the prediction algorithm actually works.
Is this type of optimizations common? Could you please provide some examples? The literature on the subject would also be greatly appreciated.
","['algorithm', 'applications', 'time-complexity']",
